,0
1001286,1299
1001287,1300
1001288,1301
1001289,1302
1001290,1303
1001291,1304
1001292,1305
1001294,1306
1001295,1307
1001296,1308
1001297,1309
1001298,1310
1001299,1311
1001300,1312
1001301,1313
1001302,1314
1001303,1315
1001304,1316
1001305,1317
1001306,1318
1001307,1319
1001308,1320
1001309,1321
1001310,1322
1001311,1323
1001312,1324
1001313,1325
1001314,1326
1001315,1327
1001316,1328
1001317,1329
1001318,1330
1001319,1331
1001320,1332
1001322,1333
1001323,1334
1001324,1335
1001325,1336
1001326,1337
1001327,1338
1001328,1339
1001329,1340
1001330,1341
1001331,1342
1001332,1343
1001333,1344
1001334,1345
1001335,1346
1001336,1347
1001337,1348
1001338,1349
1001339,1350
1001340,1351
1001342,1352
1001343,1353
1001344,1354
1001345,1355
1001346,1356
1001347,1357
1001348,1358
1001349,1359
1001350,1360
1001351,1361
1001352,1362
1001353,1363
1001354,1364
1001355,1365
1001356,1366
1001357,1367
1001358,1368
1001359,1369
1001360,1370
1001361,1371
1001362,1372
1001363,1373
1001364,1374
1001365,1375
1001366,1376
1001367,1377
1001368,1378
1001369,1379
1001370,1380
1001371,1381
1001372,1382
1001373,1383
1001374,1384
1001375,1385
1001376,1386
1001377,1387
1001378,1388
1001379,1389
1001380,1390
1001381,1391
1001382,1392
1001383,1393
1001384,1394
1001386,1395
1001387,1396
1001388,1397
1001389,1398
1001390,1399
1001391,1400
1001392,1401
1001393,1402
1001394,1403
1001395,1404
1001396,1405
1001397,1406
1001398,1407
1001399,1408
1001400,1409
1001401,1410
1001402,1411
1001403,1412
1001404,1413
1001405,1414
1001407,1415
1001408,1416
1001409,1417
1001410,1418
1001411,1419
1001412,1420
1001413,1421
1001414,1422
1001415,1423
1001416,1424
1001417,1425
1001418,1426
1001419,1427
1001420,1428
1001421,1429
1001422,1430
1001423,1431
1001424,1432
1001425,1433
1001427,1434
1001428,1435
1001429,1436
1001430,1437
1001431,1438
1001432,1439
1001433,1440
1001434,1441
1001436,1442
1001437,1443
1001438,1444
1001439,1445
1001440,1446
1001441,1447
1001442,1448
1001443,1449
1001444,1450
1001445,1451
1001446,1452
1001447,1453
1001448,1454
1001449,1455
1001450,1456
1001451,1457
1001452,1458
1001453,1459
1001455,1460
1001456,1461
1001457,1462
1001458,1463
1001459,1464
1001460,1465
1001461,1466
1001462,1467
1001463,1468
1001464,1469
1001465,1470
1001466,1471
1001467,1472
1001468,1473
1001469,1474
1001470,1475
1001471,1476
1001472,1477
1001473,1478
1001474,1479
1001475,1480
1001476,1481
1001477,1482
1001478,1483
1001479,1484
1001480,1485
1001481,1486
1001482,1487
1001483,1488
1001484,1489
1001485,1490
1001487,1491
1001488,1492
1001489,1493
1001490,1494
1001491,1495
1001492,1496
1001493,1497
1001494,1498
1001495,1499
1001496,1500
1001497,1501
1001498,1502
1001499,1503
1001500,1504
1001501,1505
1001502,1506
1001503,1507
1001504,1508
1001505,1509
1001506,1510
1001507,1511
1001508,1512
1001509,1513
1001510,1514
1001511,1515
1001512,1516
1001513,1517
1001514,1518
1001515,1519
1001516,1520
1001517,1521
1001518,1522
1001519,1523
1001520,1524
1001521,1525
1001522,1526
1001523,1527
1001524,1528
1001525,1529
1001526,1530
1001527,1531
1001528,1532
1001529,1533
1001530,1534
1001531,1535
1001532,1536
1001534,1537
1001535,1538
1001536,1539
1001537,1540
1001538,1541
1001539,1542
